mysql> select * from esglesia where municipi is null;
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
| id   | nom                                                 | municipi | wikidata  | wikipedia                                                        | lat        | lon       | osm_id     | osm_tipus |
| 1670 | Església Vella de Constantí                         | NULL     | Q65205025 | ca:Església Vella (Constantí)                                    | 41.1538845 | 1.2125446 | 7744018686 | node      |
| 1677 | Capella del Castell de Sant Martí de Maldà          | NULL     | Q28090386 | ca:Capella del Castell de Sant Martí de Maldà                    | 41.5606853 | 1.0535025 | 7740605788 | node      |
| 1686 | Sant Salvador d'Almenara                            | NULL     | Q21569120 | ca:Sant Salvador d'Almenara                                      | 41.7407220 | 1.0548729 | 7739406874 | node      |
| 1691 | Santa Maria de la Figuerosa                         | NULL     | Q28061717 | ca:Santa Maria de la Figuerosa                                   | 41.6962036 | 1.1683047 | 7739366525 | node      |
| 1692 | Santa Maria de Vallsanta                            | NULL     | Q6021546  | ca:Santa Maria de Vallsanta                                      | 41.5669108 | 1.1620544 | 2191179638 | node      |
| 1725 | Sant Sadurní de Betren                              | NULL     | Q26903400 | ca:Sant Sadurní de Betren                                        | 42.6978630 | 0.8064196 | 7738437004 | node      |
| 1727 | Campanar de Sant Menna                              | NULL     | Q81979853 | ca:Campanar de Sant Menna                                        | 41.6061076 | 2.1362755 | 7738363474 | node      |
| 1729 | Capella de Sant Genís                               | NULL     | Q28710861 | ca:Capella de Sant Genís. Antic conjunt parroquial de Plegamans  | 41.5854452 | 2.1838547 | 7738387254 | node      |
| 1768 | Església vella de Sant Fost de Campsentelles        | NULL     | Q20985779 | ca:Església vella de Sant Fost de Campsentelles                  | 41.5132646 | 2.2330266 | 7737538621 | node      |
| 1790 | Sant Miquel de Martres de Caldes de Montbui         | NULL     | Q28711552 | ca:Sant Miquel de Martres de Caldes de Montbui                   | 41.6381166 | 2.1900383 | 7736885536 | node      |
| 1805 | Santa Maria del Camí                                | NULL     | Q5836340  | ca:Santa Maria del Camí (la Garriga)                             | 41.6710166 | 2.2870820 | 7736818811 | node      |
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
139 rows in set (0.00 sec)
